id,created,superceded_id,valid,size,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position,ctr_pt_position,post_pt_to_soma_distance_nm,post_pt_location,post_pt_label,pre_pt_to_soma_distance_nm,pre_pt_location,pre_pt_label
47170202,2025-08-13 15:56:02.393871+00:00,,t,128,80018195796548898,720575941142088878,80018195796534538,720575941086890090,[146574. 157606.   1653.],[146572. 157658.   1651.],[146568. 157636.   1653.],38718.72015052364,B1A2C3B4A5,dendrite,,,
49352821,2025-08-13 15:56:02.393871+00:00,,t,136,80089870546466181,720575940999937550,80089870546482283,720575941086890090,[148338. 177372.   2355.],[148290. 177364.   2357.],[148326. 177362.   2353.],192348.91071983665,B1B2B3D4B5B6A7D8B9A10A11B12A13B14,dendrite,,,
48347575,2025-08-13 15:56:02.393871+00:00,,t,136,80089939399677350,720575941061928248,80089939333123285,720575941086890090,[147542. 178010.   2497.],[147552. 177988.   2493.],[147546. 177992.   2495.],203332.7037527033,B1B2B3D4B5B6A7D8B9A10A11B12A13B14,dendrite,,,
42724750,2025-08-13 15:56:02.393871+00:00,,t,137,79525202337671838,720575941143195310,79525202337671851,720575941086890090,[140174. 151850.   1833.],[140198. 151822.   1830.],[140182. 151840.   1832.],75069.2638324447,B1A2A3A4B5,dendrite,,,
58853123,2025-08-13 15:56:02.393871+00:00,,t,140,80933745519701109,720575941149002294,80933745519508667,720575941086890090,[160090. 169038.   1974.],[160124. 169072.   1971.],[160116. 169062.   1970.],183719.39386075598,B1B2B3D4B5B6A7D8A9A10B11A12,dendrite,,,
52257399,2025-08-13 15:56:02.393871+00:00,,t,456,80441095724748631,720575941046790998,80370726980615073,720575941086890090,[152594. 167754.   2163.],[152572. 167740.   2169.],[152592. 167748.   2167.],137302.71336383102,B1B2B3D4B5B6A7D8A9A10A11,dendrite,,,
42490524,2025-08-13 15:56:02.393871+00:00,,t,144,79595915014603064,720575941006325521,79595915014615504,720575941086890090,[140304. 157358.   2419.],[140296. 157382.   2423.],[140300. 157380.   2422.],73336.68544681578,B1B2A3A4A5B6B7,dendrite,,,
48195364,2025-08-13 15:56:02.393871+00:00,,t,465,80018470539971121,720575941140325253,80018470539940686,720575941086890090,[147124. 162472.   1364.],[147110. 162518.   1362.],[147116. 162492.   1363.],68146.14211170594,B1B2B3D4B5A6,dendrite,,,
56889459,2025-08-13 15:56:02.393871+00:00,,t,158,80722914701438625,720575941093770130,80722914701450226,720575941086890090,[157532. 173054.   2909.],[157520. 173008.   2906.],[157522. 173030.   2911.],207899.27123885692,B1B2B3D4B5B6A7D8A9A10A11B12A13,dendrite,,,
47189164,2025-08-13 15:56:02.393871+00:00,,t,474,80018195729364747,720575941051561240,80018195729386023,720575941086890090,[147108. 158300.   1513.],[147090. 158342.   1516.],[147088. 158324.   1514.],44959.2666951763,B1A2C3B4B5,dendrite,,,
