,cellid,presynapse_total,postsynapse_total
0,720575941034757380,1527,3996
1,720575941051511894,1427,3757
2,720575941057622500,317,2720
3,720575941059432229,330,5445
4,720575941061126260,238,4377
5,720575941061128820,965,2729
6,720575941061146740,312,3591
7,720575941064570382,1505,4139
8,720575941067985577,508,6421
9,720575941070678791,244,3653
10,720575941070687028,211,3539
11,720575941071245374,283,3768
12,720575941071680793,530,4860
13,720575941073277164,283,2975
14,720575941073777040,243,2930
15,720575941073819897,440,5194
16,720575941074810450,292,1958
17,720575941075022386,401,3378
18,720575941076332278,347,4946
19,720575941076653272,370,4115
20,720575941076758746,696,743
21,720575941077619944,416,4031
22,720575941077776594,240,4454
23,720575941077787090,225,3139
24,720575941077967095,391,3098
25,720575941077982455,222,3936
26,720575941078093229,263,4819
27,720575941079569046,259,3506
28,720575941080298878,273,3300
29,720575941081168930,163,3854
30,720575941086022449,1794,6206
31,720575941086431003,267,3347
32,720575941086890090,196,3500
33,720575941086891882,491,3905
34,720575941086918398,269,3347
35,720575941088008859,244,3875
36,720575941088408585,314,1729
37,720575941089298708,352,4701
38,720575941089521081,221,3848
39,720575941089937542,169,3928
40,720575941090078452,461,5614
41,720575941090093556,348,3614
42,720575941091424604,222,4344
43,720575941091445340,638,5566
44,720575941091459932,327,6853
45,720575941091629489,324,3636
46,720575941092450933,430,3506
47,720575941092498657,534,3933
48,720575941092554470,277,4743
49,720575941092565911,401,5439
50,720575941092573335,272,4919
51,720575941092921542,79,838
52,720575941093443783,86,2521
53,720575941094478620,414,2401
54,720575941094704098,156,3189
55,720575941095549619,301,3886
56,720575941095921486,325,3348
57,720575941096535230,3615,4077
58,720575941096669548,354,1242
59,720575941096896673,159,793
60,720575941096935073,791,2332
61,720575941097347217,235,2960
62,720575941098226189,329,2523
63,720575941098234637,268,4153
64,720575941098551211,170,2341
65,720575941098673705,584,3699
66,720575941098730638,1596,3643
67,720575941099131663,338,4849
68,720575941099212764,262,3660
69,720575941099267859,436,4843
70,720575941099645213,422,6493
71,720575941100429392,342,3108
72,720575941101423751,225,3783
73,720575941101509409,644,1789
74,720575941102657600,350,4837
75,720575941102668096,507,5853
76,720575941102712896,325,3477
77,720575941102870780,302,4797
78,720575941103533573,258,2185
79,720575941103924589,405,5001
80,720575941104131039,143,1176
81,720575941104297454,149,3102
82,720575941104309998,217,2715
83,720575941104699619,854,1840
84,720575941104700643,85,2104
85,720575941104705251,538,3561
86,720575941105379336,267,4378
87,720575941106152505,112,2345
88,720575941106477402,257,2490
89,720575941106600928,410,4667
90,720575941106639968,476,1622
91,720575941107285320,103,1789
92,720575941107298120,214,2023
93,720575941107437825,338,5297
94,720575941109570314,662,1668
95,720575941109605752,354,5185
96,720575941113287333,576,5104
97,720575941114006852,340,3882
98,720575941114011460,440,3484
99,720575941114493115,774,4573
100,720575941114493371,226,3721
101,720575941114494139,450,3759
102,720575941114687139,138,1361
103,720575941114711203,343,5322
104,720575941114933738,328,3091
105,720575941115332394,530,4434
106,720575941115960573,110,2578
107,720575941116548740,249,2975
108,720575941116572664,212,2936
109,720575941116663435,1614,4588
110,720575941116976341,1229,3382
111,720575941116997589,354,3704
112,720575941117000149,436,5313
113,720575941118374002,294,3884
114,720575941118374514,235,3436
115,720575941120382861,644,6548
116,720575941120702062,1923,5451
117,720575941120904478,2167,2983
118,720575941121184239,194,4198
119,720575941123725826,326,6089
120,720575941123736578,156,2867
121,720575941124436677,981,4132
122,720575941136000282,423,1817
123,720575941125743543,268,4601
124,720575941125953181,212,3916
125,720575941126229860,1863,2116
126,720575941127918527,281,1608
127,720575941128195568,307,2334
128,720575941128216130,92,2113
129,720575941128500170,100,1866
130,720575941128608670,328,6362
131,720575941128703583,554,5217
132,720575941101452679,318,3933
133,720575941131576319,323,1053
134,720575941131588607,143,2344
135,720575941132405960,654,5941
136,720575941134134113,283,2352
137,720575941139252669,356,3607
138,720575941139510444,313,3432
139,720575941143312378,150,1745
140,720575941144379311,205,3338
141,720575941145828823,413,2877
142,720575941148267857,196,4239
143,720575941149954781,304,5350
144,720575941149993181,479,6149
145,720575941150910648,199,2814
146,720575941152155190,738,6127
147,720575941152796324,451,3556
148,720575941153471868,426,5136
149,720575941153561801,492,6318
150,720575941153566409,349,673
151,720575941154431375,387,2524
152,720575941154453647,341,3470
153,720575941156114821,402,3975
154,720575941157944107,577,5045
155,720575941158042818,337,3378
156,720575941162298010,277,4435
157,720575941174542567,231,1222
158,720575941183694464,321,3023
159,720575941190025408,397,4150
160,720575941239851589,169,4427
