x,y,z
1.112280000000000000e+06,9.607950000000000000e+05,1.063500000000000000e+05
1.114830000000000000e+06,9.641100000000000000e+05,1.070500000000000000e+05
1.117815000000000000e+06,9.699000000000000000e+05,1.090500000000000000e+05
1.120965000000000000e+06,9.741150000000000000e+05,1.096500000000000000e+05
1.123125000000000000e+06,9.769200000000000000e+05,1.105500000000000000e+05
1.125195000000000000e+06,9.798000000000000000e+05,1.126000000000000000e+05
1.127685000000000000e+06,9.840000000000000000e+05,1.138500000000000000e+05
1.129380000000000000e+06,9.872700000000000000e+05,1.145500000000000000e+05
1.132200000000000000e+06,9.921750000000000000e+05,1.176500000000000000e+05
1.134195000000000000e+06,9.950550000000000000e+05,1.187500000000000000e+05
1.136025000000000000e+06,9.966600000000000000e+05,1.210500000000000000e+05
1.138995000000000000e+06,1.000815000000000000e+06,1.219500000000000000e+05
1.142565000000000000e+06,1.005300000000000000e+06,1.243500000000000000e+05
1.143915000000000000e+06,1.006230000000000000e+06,1.250000000000000000e+05
1.146315000000000000e+06,1.009560000000000000e+06,1.266500000000000000e+05
1.148640000000000000e+06,1.012800000000000000e+06,1.295500000000000000e+05
1.151925000000000000e+06,1.015065000000000000e+06,1.312000000000000000e+05
1.156050000000000000e+06,1.018200000000000000e+06,1.334500000000000000e+05
1.158555000000000000e+06,1.020330000000000000e+06,1.356000000000000000e+05
1.160835000000000000e+06,1.022325000000000000e+06,1.371500000000000000e+05
1.163925000000000000e+06,1.024800000000000000e+06,1.387500000000000000e+05
1.167345000000000000e+06,1.027215000000000000e+06,1.415500000000000000e+05
1.169685000000000000e+06,1.029195000000000000e+06,1.428500000000000000e+05
1.173030000000000000e+06,1.033110000000000000e+06,1.456000000000000000e+05
1.174710000000000000e+06,1.035960000000000000e+06,1.472500000000000000e+05
1.175670000000000000e+06,1.038480000000000000e+06,1.490000000000000000e+05
1.177785000000000000e+06,1.041990000000000000e+06,1.511500000000000000e+05
1.179705000000000000e+06,1.046310000000000000e+06,1.534500000000000000e+05
1.182780000000000000e+06,1.049940000000000000e+06,1.554500000000000000e+05
1.185390000000000000e+06,1.052775000000000000e+06,1.567500000000000000e+05
1.187715000000000000e+06,1.055325000000000000e+06,1.576000000000000000e+05
1.190385000000000000e+06,1.057950000000000000e+06,1.591000000000000000e+05
1.192365000000000000e+06,1.060680000000000000e+06,1.602500000000000000e+05
1.196355000000000000e+06,1.067280000000000000e+06,1.595500000000000000e+05
1.199655000000000000e+06,1.071165000000000000e+06,1.578000000000000000e+05
1.200540000000000000e+06,1.072695000000000000e+06,1.566500000000000000e+05
1.202430000000000000e+06,1.074135000000000000e+06,1.563500000000000000e+05
1.204695000000000000e+06,1.075935000000000000e+06,1.574500000000000000e+05
1.207725000000000000e+06,1.079010000000000000e+06,1.587000000000000000e+05
1.210410000000000000e+06,1.083060000000000000e+06,1.577000000000000000e+05
1.213920000000000000e+06,1.086900000000000000e+06,1.573500000000000000e+05
